id,name,age,city,score
1,Jyoti,31,Pokhara,18.5
2,,26,,63.4
3,Ishwor,36,Lalitpur,
4,,31,Pokhara,51.9
5,Bina,25,Kathmandu,70.8
6,,35,Biratnagar,38.7
7,Aashish,18,Chitwan,42.0
8,Elina,26,Kathmandu,13.5
8,Ishwor,34,,77.0
10,Hari,,Lalitpur,30.4
11,Hari,36,Pokhara,21.3
12,Gaurav,,Lalitpur,
13,Kabin,35,Chitwan,18.3
14,Kabin,23,Lalitpur,19.7
15,,thirty,Biratnagar,23.8
16,Kabin,33,Kathmandu,12.6
17,Kabin,25,,1.7
18,,26,Pokhara,9.2
19,Gaurav,39,Lalitpur,
,,,,
20,Elina,17,Kathmandu,73.0
21,Bina,28,,73.7
22,Gaurav,38,Chitwan,
23,Aashish,thirty,Kathmandu,8.0
24,Hari,29,Chitwan,44.1
25,,thirty,,11.3
26,Ishwor,17,Lalitpur,20.3
27,Ishwor,24,Pokhara,63.4
28,Deepa,29,Pokhara,13.6
29,Aashish,25,Chitwan,27.5
30,Jyoti,27,Lalitpur,
28,,39,,
32,Ishwor,25,Kathmandu,98.4
33,Jyoti,28,Pokhara,82.4
34,Ishwor,18,Biratnagar,54.0
35,Chandra,39,,38.8
36,Aashish,35,Biratnagar,46.4
37,Bina,29,Lalitpur,97.7
38,Aashish,,Chitwan,76.8
5,Hari,22,Pokhara,47.1
40,Jyoti,39,Lalitpur,94.9
41,Jyoti,40,Lalitpur,84.4
42,Hari,36,Lalitpur,52.4
43,Jyoti,thirty,Kathmandu,51.6
,,,,
44,Kabin,19,Lalitpur,45.9
45,Hari,32,Chitwan,52.5
46,Aashish,21,Kathmandu,19.4
47,Gaurav,24,,58.2
48,Deepa,,Lalitpur,61.6
49,Jyoti,33,Lalitpur,85.7
50,Gaurav,27,Pokhara,21.8
51,Chandra,21,Kathmandu,43.5
52,Chandra,thirty,Pokhara,57.0
53,Gaurav,33,,83.3
54,,34,Chitwan,14.7
55,Chandra,,,46.2
56,Ishwor,28,Kathmandu,
57,Hari,40,Lalitpur,16.5
6,Hari,23,Biratnagar,28.0
59,Chandra,29,Lalitpur,69.5
60,Hari,,Chitwan,10.1
61,,25,Biratnagar,21.6
62,Bina,32,Chitwan,
63,Deepa,29,,37.6
64,Gaurav,33,Kathmandu,63.8
6,Hari,22,Chitwan,54.2
66,Ishwor,33,Lalitpur,28.6
67,Elina,thirty,Pokhara,58.6
68,,thirty,,
69,Hari,25,Lalitpur,9.8
70,Chandra,24,Lalitpur,41.7
